source,season,tournament,date,round,group,home_team,away_team,home_code,away_code,home_goals,away_goals,home_goals_ht,away_goals_ht,venue,city,status,home_xg,away_xg
openfootball,2026,USA/Canada/Mexico 2026,2026-07-11 21:00:00+00:00,Quarter-final,Quarter-final,Norway,England,,,,,,,Miami (Miami Gardens),Miami (Miami Gardens),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-12 01:00:00+00:00,Quarter-final,Quarter-final,Argentina,Switzerland,,,,,,,Kansas City,Kansas City,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-07-14 19:00:00+00:00,Semi-final,Semi-final,France,Spain,,,,,,,Dallas (Arlington),Dallas (Arlington),scheduled,,
