source,season,date,round,group,home_team,away_team,home_goals,away_goals,venue,city,status
espn,2026,2026-07-05 20:00:00+00:00,13800,,Brazil,Norway,0,0,MetLife Stadium,"East Rutherford, New Jersey",scheduled
espn,2026,2026-07-06 00:00:00+00:00,13800,,Mexico,England,0,0,Estadio Banorte,Mexico City,scheduled
