source,season,tournament,date,round,group,home_team,away_team,home_code,away_code,home_goals,away_goals,home_goals_ht,away_goals_ht,venue,city,status,home_xg,away_xg
openfootball,2026,USA/Canada/Mexico 2026,2026-06-22 00:00:00+00:00,Matchday 12,Group I,France,Iraq,,,,,,,Philadelphia,Philadelphia,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-22 00:00:00+00:00,Matchday 12,Group J,Argentina,Austria,,,,,,,Dallas (Arlington),Dallas (Arlington),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-22 00:00:00+00:00,Matchday 12,Group J,Jordan,Algeria,,,,,,,San Francisco Bay Area (Santa Clara),San Francisco Bay Area (Santa Clara),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-22 00:00:00+00:00,Matchday 12,Group I,Norway,Senegal,,,,,,,New York/New Jersey (East Rutherford),New York/New Jersey (East Rutherford),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-23 00:00:00+00:00,Matchday 13,Group K,Portugal,Uzbekistan,,,,,,,Houston,Houston,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-23 00:00:00+00:00,Matchday 13,Group L,Panama,Croatia,,,,,,,Toronto,Toronto,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-23 00:00:00+00:00,Matchday 13,Group L,England,Ghana,,,,,,,Boston (Foxborough),Boston (Foxborough),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-23 00:00:00+00:00,Matchday 13,Group K,Colombia,DR Congo,,,,,,,Guadalajara (Zapopan),Guadalajara (Zapopan),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-24 00:00:00+00:00,Matchday 14,Group A,Czech Republic,Mexico,,,,,,,Mexico City,Mexico City,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-24 00:00:00+00:00,Matchday 14,Group C,Morocco,Haiti,,,,,,,Atlanta,Atlanta,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-24 00:00:00+00:00,Matchday 14,Group C,Scotland,Brazil,,,,,,,Miami (Miami Gardens),Miami (Miami Gardens),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-24 00:00:00+00:00,Matchday 14,Group B,Bosnia & Herzegovina,Qatar,,,,,,,Seattle,Seattle,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-24 00:00:00+00:00,Matchday 14,Group B,Switzerland,Canada,,,,,,,Vancouver,Vancouver,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-24 00:00:00+00:00,Matchday 14,Group A,South Africa,South Korea,,,,,,,Monterrey (Guadalupe),Monterrey (Guadalupe),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-25 00:00:00+00:00,Matchday 15,Group D,Turkey,USA,,,,,,,Los Angeles (Inglewood),Los Angeles (Inglewood),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-25 00:00:00+00:00,Matchday 15,Group F,Tunisia,Netherlands,,,,,,,Kansas City,Kansas City,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-25 00:00:00+00:00,Matchday 15,Group D,Paraguay,Australia,,,,,,,San Francisco Bay Area (Santa Clara),San Francisco Bay Area (Santa Clara),scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-25 00:00:00+00:00,Matchday 15,Group F,Japan,Sweden,,,,,,,Dallas (Arlington),Dallas (Arlington),scheduled,,
