source,season,tournament,date,round,group,home_team,away_team,home_code,away_code,home_goals,away_goals,home_goals_ht,away_goals_ht,venue,city,status,home_xg,away_xg
openfootball,2026,USA/Canada/Mexico 2026,2026-06-11 00:00:00+00:00,Matchday 1,Group A,Mexico,South Africa,,,,,,,Mexico City,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-11 00:00:00+00:00,Matchday 1,Group A,South Korea,Czech Republic,,,,,,,Guadalajara (Zapopan),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-12 00:00:00+00:00,Matchday 2,Group B,Canada,Bosnia & Herzegovina,,,,,,,Toronto,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-12 00:00:00+00:00,Matchday 2,Group D,USA,Paraguay,,,,,,,Los Angeles (Inglewood),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-13 00:00:00+00:00,Matchday 3,Group B,Qatar,Switzerland,,,,,,,San Francisco Bay Area (Santa Clara),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-13 00:00:00+00:00,Matchday 3,Group D,Australia,Turkey,,,,,,,Vancouver,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-13 00:00:00+00:00,Matchday 3,Group C,Brazil,Morocco,,,,,,,New York/New Jersey (East Rutherford),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-13 00:00:00+00:00,Matchday 3,Group C,Haiti,Scotland,,,,,,,Boston (Foxborough),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-14 00:00:00+00:00,Matchday 4,Group F,Sweden,Tunisia,,,,,,,Monterrey (Guadalupe),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-14 00:00:00+00:00,Matchday 4,Group F,Netherlands,Japan,,,,,,,Dallas (Arlington),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-14 00:00:00+00:00,Matchday 4,Group E,Ivory Coast,Ecuador,,,,,,,Philadelphia,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-14 00:00:00+00:00,Matchday 4,Group E,Germany,Curaçao,,,,,,,Houston,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-15 00:00:00+00:00,Matchday 5,Group G,Iran,New Zealand,,,,,,,Los Angeles (Inglewood),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-15 00:00:00+00:00,Matchday 5,Group G,Belgium,Egypt,,,,,,,Seattle,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-15 00:00:00+00:00,Matchday 5,Group H,Saudi Arabia,Uruguay,,,,,,,Miami (Miami Gardens),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-15 00:00:00+00:00,Matchday 5,Group H,Spain,Cape Verde,,,,,,,Atlanta,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-16 00:00:00+00:00,Matchday 6,Group I,Iraq,Norway,,,,,,,Boston (Foxborough),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-16 00:00:00+00:00,Matchday 6,Group I,France,Senegal,,,,,,,New York/New Jersey (East Rutherford),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-16 00:00:00+00:00,Matchday 6,Group J,Austria,Jordan,,,,,,,San Francisco Bay Area (Santa Clara),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-16 00:00:00+00:00,Matchday 6,Group J,Argentina,Algeria,,,,,,,Kansas City,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-17 00:00:00+00:00,Matchday 7,Group K,Portugal,DR Congo,,,,,,,Houston,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-17 00:00:00+00:00,Matchday 7,Group K,Uzbekistan,Colombia,,,,,,,Mexico City,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-17 00:00:00+00:00,Matchday 7,Group L,Ghana,Panama,,,,,,,Toronto,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-17 00:00:00+00:00,Matchday 7,Group L,England,Croatia,,,,,,,Dallas (Arlington),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-18 00:00:00+00:00,Matchday 8,Group A,Czech Republic,South Africa,,,,,,,Atlanta,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-18 00:00:00+00:00,Matchday 8,Group A,Mexico,South Korea,,,,,,,Guadalajara (Zapopan),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-18 00:00:00+00:00,Matchday 8,Group B,Canada,Qatar,,,,,,,Vancouver,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-18 00:00:00+00:00,Matchday 8,Group B,Switzerland,Bosnia & Herzegovina,,,,,,,Los Angeles (Inglewood),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-19 00:00:00+00:00,Matchday 9,Group C,Brazil,Haiti,,,,,,,Philadelphia,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-19 00:00:00+00:00,Matchday 9,Group D,Turkey,Paraguay,,,,,,,San Francisco Bay Area (Santa Clara),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-19 00:00:00+00:00,Matchday 9,Group D,USA,Australia,,,,,,,Seattle,,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-19 00:00:00+00:00,Matchday 9,Group C,Scotland,Morocco,,,,,,,Boston (Foxborough),,scheduled,,
openfootball,2026,USA/Canada/Mexico 2026,2026-06-20 00:00:00+00:00,Matchday 10,Group E,Ecuador,Curaçao,,,,,,,Kansas City,,scheduled,,
